!!SBtab
!QuantityType	!KOnumber	!Gene	!Value
concentration of enzyme	ko00864	GlpK	658
concentration of enzyme	ko00868	ThiD	2019.3333
concentration of enzyme	ko00877	YjbV	639.3333
concentration of enzyme	ko00925	AckA	2406.3333
concentration of enzyme	ko00927	Pgk	3524
concentration of enzyme	ko00928	LysC	2164.6667
concentration of enzyme	ko00939	Adk	1387.6667
concentration of enzyme	ko00940	Ndk	6954
concentration of enzyme	ko00942	Gmk	1406
concentration of enzyme	ko00945	Cmk	2309
concentration of enzyme	ko00948	Prs	1936.6667
concentration of enzyme	ko00955	Sat	3701
concentration of enzyme	ko00960	RpoA	22177.6667
concentration of enzyme	ko00960	RpoB	1004.3333
concentration of enzyme	ko00962	PnpA	2439.3333
concentration of enzyme	ko00963	GtaB	510
concentration of enzyme	ko00980	TagD	739.3333
concentration of enzyme	ko00989	Rph	1396.3333
concentration of enzyme	ko01012	BioB	1506.6667
concentration of enzyme	ko01057	YkgB	3913
concentration of enzyme	ko01060	Cah	1297.3333
concentration of enzyme	ko01151	YqfS	531.6667
concentration of enzyme	ko01179	YsdC	3795
concentration of enzyme	ko01188	BglH	1509.3333
concentration of enzyme	ko01189	MelA	387.6667
concentration of enzyme	ko01222	BglA	274
concentration of enzyme	ko01252	DhbB	1214.3333
concentration of enzyme	ko01271	YkvY	1368.3333
concentration of enzyme	ko01299	YpwA	1734.3333
concentration of enzyme	ko01358	ClpP	1107.6667
concentration of enzyme	ko01438	YlmB	597
concentration of enzyme	ko01439	YtjP	396.3333
concentration of enzyme	ko01465	PyrC	1944.3333
concentration of enzyme	ko01486	YerA	255.3333
concentration of enzyme	ko01507	PpaC	533
concentration of enzyme	ko01569	OxdC	3944.6667
concentration of enzyme	ko01586	LysA	4336.6667
concentration of enzyme	ko01587	PurC	5205
concentration of enzyme	ko01589	PurK	671.6667
concentration of enzyme	ko01622	FbaA	12448
concentration of enzyme	ko01622	Fbp	115.6667
concentration of enzyme	ko01626	AroA	14460
concentration of enzyme	ko01633	FolB	1569
concentration of enzyme	ko01647	CitZ	17086.3333
concentration of enzyme	ko01649	LeuA	1805.6667
concentration of enzyme	ko01652	IlvB	2240.3333
concentration of enzyme	ko01656	TrpE	192
concentration of enzyme	ko01661	MenB	1801.3333
concentration of enzyme	ko01664	PabA	322
concentration of enzyme	ko01664	PabB	444.6667
concentration of enzyme	ko01672	YtiB	74.3333
concentration of enzyme	ko01681	CitB	4942.6667
concentration of enzyme	ko01687	IlvD	2584
concentration of enzyme	ko01689	Eno	21294.3333
concentration of enzyme	ko01692	YsiB	1731.6667
concentration of enzyme	ko01694	TrpA	1075.6667
concentration of enzyme	ko01702	LeuC	1175.6667
concentration of enzyme	ko01702	LeuD	3922.6667
concentration of enzyme	ko01712	HutU	328.6667
concentration of enzyme	ko01714	DapA	2318.6667
concentration of enzyme	ko01733	ThrC	3021
concentration of enzyme	ko01736	AroF	2398.6667
concentration of enzyme	ko01738	CysK	4481.6667
concentration of enzyme	ko01739	YjcI	1364.3333
concentration of enzyme	ko01754	IlvA	425
concentration of enzyme	ko01756	PurB	6548
concentration of enzyme	ko01759	YwbC	2530.6667
concentration of enzyme	ko01760	YjcJ	8774.6667
concentration of enzyme	ko01772	HemH	1358.3333
concentration of enzyme	ko01783	Rpe	1542.6667
concentration of enzyme	ko01784	GalE	2626
concentration of enzyme	ko01802	PpiB	6939.3333
concentration of enzyme	ko01803	TpiA	2168
concentration of enzyme	ko01810	Pgi	6931
concentration of enzyme	ko01815	KduI	6612.3333
concentration of enzyme	ko01834	Pgm	4670
concentration of enzyme	ko01845	GsaB	724
concentration of enzyme	ko01845	HemL	3236
concentration of enzyme	ko01850	AroH	1083.6667
concentration of enzyme	ko01851	DhbC	6190.3333
concentration of enzyme	ko01866	TyrS	2401.3333
concentration of enzyme	ko01868	ThrS	475
concentration of enzyme	ko01870	IleS	1135.3333
concentration of enzyme	ko01874	MetS	840.6667
concentration of enzyme	ko01875	SerS	2923.3333
concentration of enzyme	ko01876	AspS	1481.6667
concentration of enzyme	ko01878	GlyQ	1482.3333
concentration of enzyme	ko01878	GlyS	986.3333
concentration of enzyme	ko01881	ProS	633.3333
concentration of enzyme	ko01887	ArgS	2586
concentration of enzyme	ko01889	PheS	470.3333
concentration of enzyme	ko01889	PheT	1035
concentration of enzyme	ko01892	HisS	3401
concentration of enzyme	ko01895	AcsA	1970.3333
concentration of enzyme	ko01899	SucC	7938.6667
concentration of enzyme	ko01899	SucD	4709.6667
concentration of enzyme	ko01915	GlnA	13119.3333
concentration of enzyme	ko01916	NadE	3090
concentration of enzyme	ko01925	MurD	591.6667
concentration of enzyme	ko01928	MurE	778.3333
concentration of enzyme	ko01929	MurF	909.3333
concentration of enzyme	ko01933	PurM	1121.6667
concentration of enzyme	ko01939	PurA	2233
concentration of enzyme	ko01945	PurD	1556
concentration of enzyme	ko01951	GuaA	5870
concentration of enzyme	ko01952	PurL	1780.3333
concentration of enzyme	ko01952	PurQ	1591.3333
concentration of enzyme	ko01952	PurS	20536.3333
concentration of enzyme	ko01954	PyrAA	625.3333
concentration of enzyme	ko01958	PycA	1515.3333
concentration of enzyme	ko01961	AccA	917.3333
concentration of enzyme	ko01961	AccC	482.3333
concentration of enzyme	ko02056	RbsA	208.6667
concentration of enzyme	ko02056	YufO	702.6667
concentration of enzyme	ko02108	AtpD	7038.3333
concentration of enzyme	ko02108	AtpG	618.6667
concentration of enzyme	ko02312	DhbE	6074
