!!SBtab TableType=Layout
!Element	!PositionX	!PositionY
C00048_+_C00004_+_C00014_<=>_C00037_+_C00003	0.461212	0.385428
C00048_+_C00010_+_C00006_<=>_C00313_+_C00005_+_C00080	0.420059	-0.080217
C00048_+_C00037_<=>_C03961	0.139117	0.108237
C00058_+_C00003_<=>_C00011_+_C00004	0.718053	0.577268
C00065_+_C00048_<=>_C00168_+_C00037	0.461212	0.385428
C00065_<=>_C00022_+_C00014	0.461212	0.385428
C00074_+_C00011_<=>_C00009_+_C00036	0.258629	0.329255
C00074_+_C00011_<=>_C00036_+_C00009	0.297806	0.327585
C00074_+_C00031_<=>_C00022_+_C00092	0.181365	0.965220
C00083_+_2_C00005_<=>_2_C00006_+_C00010_+_C01013	0.798591	0.417427
C00083_+_C00005_<=>_C00222_+_C00010_+_C00006	0.747474	0.423623
C00084_+_C00004_<=>_C00469_+_C00003	0.108343	0.201835
C00085_+_C00118_<=>_C00279_+_C00231	0.427226	0.855580
C00085_<=>_C00092	0.367553	0.927045
C00091_+_C00005_<=>_C00232_+_C00006_+_C00010	0.564805	-0.054298
C00091_+_C00149_<=>_C00042_+_C04348	0.482258	0.042876
C00092_+_C00006_<=>_C01236_+_C00005	0.428585	0.982833
C00092_<=>_C00085	0.352063	0.923947
C00100_+_C00048_<=>_C06027	0.242013	-0.137759
C00101_+_C00058_+_C00002_<=>_C00008_+_C00009_+_C00234	0.624644	0.460798
C00111_+_C00118_<=>_C00354	0.317943	0.790734
C00111_+_C00279_<=>_C00447	0.451157	0.779891
C00111_<=>_C00118	0.297009	0.716584
C00111_<=>_C00546_+_C00009	0.241282	0.654666
C00117_+_C00231_<=>_C05382_+_C00118	0.501711	0.735972
C00117_<=>_C00199	0.684117	0.799073
C00118_+_C00003_+_C00001_<=>_C00197_+_C00004	0.383694	0.650022
C00118_<=>_C00111	0.307618	0.732649
C00122_+_C00004_<=>_C00042_+_C00003	0.417258	-0.013240
C00143_+_C00004_<=>_C00440_+_C00003	0.560161	0.232074
C00143_+_C00037_+_C00001_<=>_C00101_+_C00065	0.461212	0.385428
C00143_<=>_C00101_+_C00067	0.461212	0.385428
C00149_+_C00002_+_C00010_<=>_C04348_+_C00008_+_C00009	0.415990	0.115373
C00149_<=>_C00122_+_C00001	0.358927	0.047867
C00158_<=>_C00417_+_C00001	0.505983	0.224334
C00168_+_C00004_<=>_C00258_+_C00003	0.461212	0.385428
C00186_+_C00036_<=>_C00022_+_C00149	0.504435	0.256841
C00197_<=>_C00631	0.352021	0.524307
C00198_+_C00001_<=>_C00257	0.639920	1.018436
C00199_+_C00067_<=>_C06019	0.461212	0.385428
C00199_<=>_C00117	0.663749	0.800640
C00199_<=>_C00231	0.637113	0.860179
C00204_<=>_C00577_+_C00022	0.612044	0.595388
C00209_<=>_C00058_+_C00011	0.666970	0.450336
C00222_+_C00005_<=>_C01013_+_C00006	0.850754	0.478207
C00231_+_C00009_<=>_C00227_+_C00118_+_C00001	0.708331	0.734970
C00231_+_C00067_<=>_C00118_+_C00184	0.461212	0.385428
C00231_<=>_C00199	0.635546	0.878981
C00232_+_C00005_<=>_C00989_+_C00006	0.450256	-0.113121
C00234_+_C00080_<=>_C00445_+_C00001	0.461212	0.385428
C00234_<=>_C00445_+_C00001	0.628271	0.405445
C00236_+_C00005_<=>_C00118_+_C00009_+_C00006	0.374067	0.672845
C00256_<=>_C00186	0.601956	0.280060
C00257_<=>_C00204_+_C00001	0.726919	0.962672
C00258_+_C00002_<=>_C00631_+_C00008	0.393844	0.491778
C00279_+_C00085_<=>_C05382_+_C00118	0.442517	0.908531
C00279_+_C00231_<=>_C00085_+_C00118	0.426938	0.837812
C00311_+_C00003_<=>_C00026_+_C00011_+_C00004	0.645299	0.100497
C00311_<=>_C00042_+_C00048	0.392982	-0.058942
C00311_<=>_C00417_+_C00001	0.592668	0.156224
C00345_+_C00006_<=>_C00199_+_C00011_+_C00005	0.651221	0.918706
C00345_<=>_C00001_+_C04442	0.908171	0.910317
C00354_+_C00001_<=>_C00085_+_C00009	0.372405	0.857241
C00354_<=>_C00111_+_C00118	0.352021	0.790734
C00399_+_C00042_<=>_C00390_+_C00122	0.402092	-0.039170
C00399_+_C00149_<=>_C00390_+_C00036	0.272241	0.061798
C00417_+_C00001_<=>_C00158	0.499791	0.193375
C00417_+_C00001_<=>_C00311	0.614340	0.176347
C00440_+_C00011_+_2_C00138_+_C00010_<=>_C00024_+_C00101_+_2_C00139	0.512003	0.151982
C00445_+_C00004_<=>_C00143_+_C00003	0.605052	0.340431
C00447_+_C00001_<=>_C05382_+_C00009	0.523307	0.800759
C00546_+_C00006_+_C00001_<=>_C00022_+_C00005_+_C00080	0.261406	0.397705
