!!SBtab TableType='Quantity' TableID='MetaboliteConcentrationData' !Organism='Escherichia coli'
!QuantityType	!Unit	!Compound:Name	!Value	Acetate	Glycerol	GlucoseAnaerobic	!Compound:Identifiers:kegg.compound
%!Condition		Glucose	Acetate	Glycerol	GlucoseAnaerobic	
concentration	mM	L-Glutamate	96	44.8	149	15.623024	C00025
concentration	mM	Nicotinamide adenine dinucleotide - reduced	NaN	NaN	NaN	4.5205562	
concentration	mM	Adenine	0.00147	NaN	NaN	NaN	C00147
concentration	mM	Malonyl-CoA	0.0354	NaN	NaN	NaN	
concentration	mM	Quinolinate	0.0115	0.000896	0.00466	NaN	
concentration	mM	N2-Acetyl-L-ornithine	0.0433	0.152	0.398	NaN	
concentration	mM	Adenosine 5'-phosphosulfate	0.00663	NaN	NaN	NaN	
concentration	mM	Anthranilate	0.00348	0.00344	0.00266	NaN	
concentration	mM	L-Homocysteine	0.37	NaN	NaN	NaN	C00155
concentration	mM	5'-deoxyribose	0.303	NaN	NaN	NaN	
concentration	mM	3-Octaprenyl-4-hydroxybenzoate	0.0522	0.294	0.787	NaN	C05809
concentration	mM	4-Hydroxybenzoate	0.0522	0.294	0.787	NaN	C00156
concentration	mM	Riboflavin	0.019	0.0188	0.0221	NaN	
concentration	mM	L-Histidinol	0.0128	0.0196	0.0192	NaN	
concentration	mM	L-Leucine	NaN	NaN	NaN	0.1456791	C00123
concentration	mM	GDP	0.676	0.0177	0.0232	NaN	
concentration	mM	D-Alanine	NaN	NaN	NaN	3.2884232	C00133
concentration	mM	Nicotinamide adenine dinucleotide	NaN	NaN	NaN	2.1428235	C00004
concentration	mM	GMP	0.0237	NaN	NaN	NaN	
concentration	mM	Adenosine	0.000131	NaN	NaN	NaN	C00212
concentration	mM	ATP	NaN	NaN	NaN	4.1892834	C00002
concentration	mM	IMP	0.272	NaN	NaN	NaN	C00130
concentration	mM	AMP	0.281	0.101	0.156	NaN	C00020
concentration	mM	dTDP	0.378	NaN	NaN	NaN	
concentration	mM	D-Glucosamine 6-phosphate	1.15	0.316	0.378	NaN	C00352
concentration	mM	Succinyl-CoA	0.233	0.39	1.44	NaN	C00091
concentration	mM	D-Fructose 6-phosphate	NaN	NaN	NaN	6.8494577	C00085
concentration	mM	alpha-D-Ribose 5-phosphate	NaN	NaN	NaN	0.6283781	C03736
concentration	mM	Shikimate	0.0141	NaN	NaN	NaN	
concentration	mM	CMP	0.36	NaN	NaN	NaN	
concentration	mM	UDPglucose	2.5	0.553	1.12	NaN	
concentration	mM	Oxidized glutathione	2.37	1.68	7.31	NaN	
concentration	mM	Uridine	2.09	NaN	NaN	NaN	
concentration	mM	(R)-Glycerate	1.41	NaN	NaN	NaN	
