!!SBtab
!Reaction	!Flux
HXK_R01786	14.9
PTS_RPTSsy	14.9
PGI_R02740	12.2
PFK_R04779	12.2
ALD_R01070	12.2
TIM_R01015	12.2
GAP_R01061	26.5
PGK_R01512	26.5
PGM_R01518	26.5
PGH_R00658	26.5
PYK_R00200	26.3
LDH_R00704	1.2
PDH_R00209	24.3
ZWF_R00835	2.5
GLH_R02035	2.5
PGD_R01528	0.19
RPI_R01056	-0.04
RPE_R01529	-0.1
TXT_R01641	-0.1
TAL_R08575	-0.04
TXT_R01067	-0.06
FBP_R00762	0.0
CSN_R00351	1.4
ACN_R00351	1.4
ACN_R01900	1.4
ICD_R00709	1.2
KGD_R08549	0.7
SCS_R00405	0.7
SDH_R02164	0.2
FUM_R01082	0.33
MDH_R00342	0.33
