!!SBtab TableName='RateConstant' TableType='Quantity'						
!QuantityType	!Value	!Compound	!Compound:Identifiers:kegg.compound	!Reaction	!Reaction:Identifiers:kegg.reaction	!Unit
Michaelis constant	0.33	_S__Malate	C00149	FUM_R01082	R01082	mM
Michaelis constant	2.67	_S__Malate	C00149	MDH_R00342	R00342	mM
Michaelis constant	0.0691	Acetyl_CoA	C00024	PDH_R00209	R00209	mM
Michaelis constant	0.0179	Acetyl_CoA	C00024	CSN_R00351	R00351	mM
Michaelis constant	0.251	Fumarate	C00122	SDH_R02164	R02164	mM
Michaelis constant	0.239	Fumarate	C00122	FUM_R01082	R01082	mM
Michaelis constant	0.0161	cis_Aconitate	C00417	ACN_R00351	R00351	mM
Michaelis constant	0.0283	cis_Aconitate	C00417	ACN_R01900	R01900	mM
Michaelis constant	0.0525	_6_Phospho_D_gluconate	C00345	GLH_R02035	R02035	mM
Michaelis constant	0.0251	_6_Phospho_D_gluconate	C00345	PGD_R01528	R01528	mM
Michaelis constant	17	Orthophosphate	C00009	GAP_R01061	R01061	mM
Michaelis constant	1.08	Orthophosphate	C00009	FBP_R00762	R00762	mM
Michaelis constant	1.17	Orthophosphate	C00009	SCS_R00405	R00405	mM
Michaelis constant	8.3	Pyruvate	C00022	PTS_RPTSsy	RPTSsy	mM
Michaelis constant	0.544	Pyruvate	C00022	PYK_R00200	R00200	mM
Michaelis constant	0.00952	Pyruvate	C00022	PDH_R00209	R00209	mM
Michaelis constant	0.00329	NADPplus	C00006	ZWF_R00835	R00835	mM
Michaelis constant	0.0238	NADPplus	C00006	PGD_R01528	R01528	mM
Michaelis constant	0.0175	NADPH	C00005	ZWF_R00835	R00835	mM
Michaelis constant	0.000762	NADPH	C00005	PGD_R01528	R01528	mM
Michaelis constant	0.0227	NADH	C00004	GAP_R01061	R01061	mM
Michaelis constant	5.18	NADH	C00004	PDH_R00209	R00209	mM
Michaelis constant	1.12	NADH	C00004	ICD_R00709	R00709	mM
Michaelis constant	4.15	NADH	C00004	KGD_R08549	R08549	mM
Michaelis constant	0.00564	NADH	C00004	MDH_R00342	R00342	mM
Michaelis constant	0.0936	NADplus	C00003	GAP_R01061	R01061	mM
Michaelis constant	0.0374	NADplus	C00003	PDH_R00209	R00209	mM
Michaelis constant	0.0749	NADplus	C00003	ICD_R00709	R00709	mM
Michaelis constant	0.00241	NADplus	C00003	KGD_R08549	R08549	mM
Michaelis constant	0.178	NADplus	C00003	MDH_R00342	R00342	mM
Michaelis constant	0.11	ATP	C00002	PFK_R04779	R04779	mM
Michaelis constant	0.499	ATP	C00002	PGK_R01512	R01512	mM
Michaelis constant	5.05	ATP	C00002	PYK_R00200	R00200	mM
Michaelis constant	0.0288	ATP	C00002	SCS_R00405	R00405	mM
Michaelis constant	17.6	H2O	C00001	PGH_R00658	R00658	mM
Michaelis constant	0.00115	H2O	C00001	GLH_R02035	R02035	mM
Michaelis constant	0.0093	H2O	C00001	FBP_R00762	R00762	mM
Michaelis constant	7.1e-05	H2O	C00001	CSN_R00351	R00351	mM
Michaelis constant	0.0161	H2O	C00001	ACN_R00351	R00351	mM
Michaelis constant	0.473	H2O	C00001	ACN_R01900	R01900	mM
Michaelis constant	1.06	H2O	C00001	FUM_R01082	R01082	mM
Michaelis constant	1.12	_2_Oxoglutarate	C00026	ICD_R00709	R00709	mM
Michaelis constant	3.2	_2_Oxoglutarate	C00026	KGD_R08549	R08549	mM
Michaelis constant	0.0282	Oxaloacetate	C00036	CSN_R00351	R00351	mM
Michaelis constant	0.0254	Oxaloacetate	C00036	MDH_R00342	R00342	mM
Michaelis constant	0.0179	Ubiquinone	C00399	SDH_R02164	R02164	mM
Michaelis constant	0.226	D_Erythrose_4_phosphate	C00279	TAL_R08575	R08575	mM
Michaelis constant	0.15	D_Erythrose_4_phosphate	C00279	TXT_R01067	R01067	mM
Michaelis constant	26.9	Ubiquinol	C00390	SDH_R02164	R02164	mM
Michaelis constant	0.901	ADP	C00008	PFK_R04779	R04779	mM
Michaelis constant	0.114	ADP	C00008	PGK_R01512	R01512	mM
Michaelis constant	0.00925	ADP	C00008	PYK_R00200	R00200	mM
Michaelis constant	0.211	ADP	C00008	SCS_R00405	R00405	mM
Michaelis constant	0.185	Isocitrate	C00311	ACN_R01900	R01900	mM
Michaelis constant	2.03	Isocitrate	C00311	ICD_R00709	R00709	mM
Michaelis constant	0.138	D_Ribulose_5_phosphate	C00199	PGD_R01528	R01528	mM
Michaelis constant	3.19	D_Ribulose_5_phosphate	C00199	RPI_R01056	R01056	mM
Michaelis constant	0.787	D_Ribulose_5_phosphate	C00199	RPE_R01529	R01529	mM
Michaelis constant	0.314	D_Xylulose_5_phosphate	C00231	RPE_R01529	R01529	mM
Michaelis constant	0.524	D_Xylulose_5_phosphate	C00231	TXT_R01641	R01641	mM
Michaelis constant	0.412	D_Xylulose_5_phosphate	C00231	TXT_R01067	R01067	mM
Michaelis constant	8.3	D_Glucose_6_phosphate	C00092	PTS_RPTSsy	RPTSsy	mM
Michaelis constant	0.165	D_Glucose_6_phosphate	C00092	PGI_R02740	R02740	mM
Michaelis constant	0.0742	D_Glucose_6_phosphate	C00092	ZWF_R00835	R00835	mM
Michaelis constant	0.411	_3_Phospho_D_glyceroyl_phosphate	C00236	GAP_R01061	R01061	mM
Michaelis constant	0.00186	_3_Phospho_D_glyceroyl_phosphate	C00236	PGK_R01512	R01512	mM
Michaelis constant	0.0034	CoA	C00010	PDH_R00209	R00209	mM
Michaelis constant	141	CoA	C00010	CSN_R00351	R00351	mM
Michaelis constant	0.00241	CoA	C00010	KGD_R08549	R08549	mM
Michaelis constant	0.028	CoA	C00010	SCS_R00405	R00405	mM
Michaelis constant	5.18	CO2	C00011	PDH_R00209	R00209	mM
Michaelis constant	34	CO2	C00011	PGD_R01528	R01528	mM
Michaelis constant	1.12	CO2	C00011	ICD_R00709	R00709	mM
Michaelis constant	4.15	CO2	C00011	KGD_R08549	R08549	mM
Michaelis constant	1.78	D_Ribose_5_phosphate	C00117	RPI_R01056	R01056	mM
Michaelis constant	0.536	D_Ribose_5_phosphate	C00117	TXT_R01641	R01641	mM
Michaelis constant	0.159	Glycerone_phosphate	C00111	ALD_R01070	R01070	mM
Michaelis constant	1.36	Glycerone_phosphate	C00111	TIM_R01015	R01015	mM
Michaelis constant	0.0012	D_Glucose	C00031	PTS_RPTSsy	RPTSsy	mM
Michaelis constant	1.4	D_Fructose_1_6_bisphosphate	C00354	PFK_R04779	R04779	mM
Michaelis constant	0.107	D_Fructose_1_6_bisphosphate	C00354	ALD_R01070	R01070	mM
Michaelis constant	0.0128	D_Fructose_1_6_bisphosphate	C00354	FBP_R00762	R00762	mM
Michaelis constant	0.129	D_Glyceraldehyde_3_phosphate	C00118	ALD_R01070	R01070	mM
Michaelis constant	0.0941	D_Glyceraldehyde_3_phosphate	C00118	TIM_R01015	R01015	mM
Michaelis constant	26.4	D_Glyceraldehyde_3_phosphate	C00118	GAP_R01061	R01061	mM
Michaelis constant	4.1	D_Glyceraldehyde_3_phosphate	C00118	TXT_R01641	R01641	mM
Michaelis constant	0.0606	D_Glyceraldehyde_3_phosphate	C00118	TAL_R08575	R08575	mM
Michaelis constant	4.95	D_Glyceraldehyde_3_phosphate	C00118	TXT_R01067	R01067	mM
Michaelis constant	0.0012	Phosphoenolpyruvate	C00074	PTS_RPTSsy	RPTSsy	mM
Michaelis constant	0.573	Phosphoenolpyruvate	C00074	PGH_R00658	R00658	mM
Michaelis constant	0.0111	Phosphoenolpyruvate	C00074	PYK_R00200	R00200	mM
Michaelis constant	0.00656	Citrate	C00158	CSN_R00351	R00351	mM
Michaelis constant	0.00121	Citrate	C00158	ACN_R00351	R00351	mM
Michaelis constant	0.0873	Succinyl_CoA	C00091	KGD_R08549	R08549	mM
Michaelis constant	0.0361	Succinyl_CoA	C00091	SCS_R00405	R00405	mM
Michaelis constant	0.709	_3_Phospho_D_glycerate	C00197	PGK_R01512	R01512	mM
